ros [ns],orocos [ms]
1452608843673950000,1452608843675
1452608843675950000,1452608843677
1452608843677940000,1452608843679
1452608843680080000,1452608843681
1452608843681940000,1452608843683
1452608843683950000,1452608843685
1452608843685960000,1452608843687
1452608843687940000,1452608843689
1452608843689980000,1452608843691
1452608843691970000,1452608843693
1452608843693980000,1452608843695
1452608843695950000,1452608843697
1452608843697940000,1452608843699
1452608843699980000,1452608843701
1452608843702000000,1452608843703
1452608843703940000,1452608843705
1452608843705960000,1452608843707
1452608843707940000,1452608843709
1452608843710090000,1452608843711
1452608843711970000,1452608843713
1452608843713950000,1452608843715
1452608843715950000,1452608843717
1452608843717940000,1452608843719
1452608843719970000,1452608843721
1452608843721980000,1452608843723
1452608843723980000,1452608843725
1452608843725950000,1452608843727
1452608843727950000,1452608843729
1452608843729910000,1452608843731
1452608843732180000,1452608843733
1452608843733940000,1452608843735
1452608843736170000,1452608843737
1452608843737940000,1452608843739
1452608843739940000,1452608843741
1452608843741940000,1452608843743
1452608843743950000,1452608843745
1452608843745940000,1452608843747
1452608843747940000,1452608843749
1452608843749940000,1452608843751
1452608843751940000,1452608843753
1452608843753940000,1452608843755
1452608843755940000,1452608843757
1452608843757940000,1452608843759
1452608843759940000,1452608843761
1452608843761940000,1452608843763
1452608843764170000,1452608843765
1452608843765940000,1452608843767
1452608843767940000,1452608843769
1452608843769940000,1452608843771
1452608843771940000,1452608843773
1452608843774170000,1452608843775
1452608843775940000,1452608843777
1452608843777940000,1452608843779
1452608843779940000,1452608843781
1452608843781940000,1452608843783
1452608843783940000,1452608843785
1452608843785940000,1452608843787
1452608843787940000,1452608843789
1452608843789940000,1452608843791
1452608843791940000,1452608843793
1452608843793940000,1452608843795
1452608843795940000,1452608843797
1452608843797940000,1452608843799
1452608843799940000,1452608843801
1452608843801940000,1452608843803
1452608843803940000,1452608843805
1452608843806170000,1452608843807
1452608843807940000,1452608843809
1452608843809940000,1452608843811
1452608843811940000,1452608843813
1452608843813940000,1452608843815
1452608843815940000,1452608843817
1452608843817940000,1452608843819
1452608843819940000,1452608843821
1452608843821950000,1452608843823
1452608843824180000,1452608843825
1452608843825940000,1452608843827
1452608843827940000,1452608843829
1452608843829940000,1452608843831
1452608843831940000,1452608843833
1452608843833940000,1452608843835
1452608843835940000,1452608843837
1452608843837940000,1452608843839
1452608843839940000,1452608843841
1452608843841940000,1452608843843
1452608843843940000,1452608843845
1452608843845940000,1452608843847
1452608843847940000,1452608843849
1452608843849940000,1452608843851
1452608843851950000,1452608843853
1452608843854170000,1452608843855
1452608843855940000,1452608843857
1452608843857940000,1452608843859
1452608843859940000,1452608843861
1452608843861950000,1452608843863
1452608843864180000,1452608843865
1452608843865940000,1452608843867
1452608843867940000,1452608843869
1452608843869940000,1452608843871
1452608843871940000,1452608843873
1452608843873940000,1452608843875
1452608843875940000,1452608843877
1452608843877940000,1452608843879
1452608843879940000,1452608843881
1452608843881950000,1452608843883
1452608843884170000,1452608843885
1452608843885940000,1452608843887
1452608843887940000,1452608843889
1452608843889940000,1452608843891
1452608843891950000,1452608843893
1452608843894170000,1452608843895
1452608843895940000,1452608843897
1452608843897940000,1452608843899
1452608843899940000,1452608843901
1452608843901940000,1452608843903
1452608843903940000,1452608843905
1452608843905940000,1452608843907
1452608843907940000,1452608843909
1452608843909940000,1452608843911
1452608843911950000,1452608843913
1452608843914180000,1452608843915
1452608843915940000,1452608843917
1452608843917940000,1452608843919
1452608843919940000,1452608843921
1452608843921950000,1452608843923
1452608843923940000,1452608843925
1452608843925940000,1452608843927
1452608843927940000,1452608843929
1452608843929940000,1452608843931
1452608843931950000,1452608843933
1452608843934170000,1452608843935
1452608843935940000,1452608843937
1452608843937940000,1452608843939
1452608843939940000,1452608843941
1452608843941950000,1452608843943
1452608843944180000,1452608843945
1452608843945940000,1452608843947
1452608843947940000,1452608843949
1452608843949940000,1452608843951
1452608843951940000,1452608843953
1452608843953940000,1452608843955
1452608843955940000,1452608843957
1452608843957940000,1452608843959
1452608843959940000,1452608843961
1452608843961950000,1452608843963
1452608843964170000,1452608843965
1452608843965940000,1452608843967
1452608843967940000,1452608843969
1452608843969940000,1452608843971
1452608843971940000,1452608843973
1452608843973940000,1452608843975
1452608843975940000,1452608843977
1452608843977940000,1452608843979
1452608843979940000,1452608843981
1452608843981950000,1452608843983
1452608843984170000,1452608843985
1452608843985940000,1452608843987
1452608843987940000,1452608843989
1452608843989940000,1452608843991
1452608843991950000,1452608843993
1452608843994180000,1452608843995
1452608843995940000,1452608843997
1452608843997940000,1452608843999
1452608843999940000,1452608844001
1452608844001950000,1452608844003
1452608844003950000,1452608844005
1452608844006010000,1452608844007
1452608844007980000,1452608844009
1452608844009980000,1452608844011
1452608844011990000,1452608844013
1452608844013980000,1452608844015
1452608844015990000,1452608844017
1452608844018000000,1452608844019
1452608844019980000,1452608844021
1452608844021990000,1452608844023
1452608844023960000,1452608844025
1452608844025990000,1452608844027
1452608844027990000,1452608844029
1452608844029980000,1452608844031
1452608844032000000,1452608844033
1452608844033970000,1452608844035
1452608844035990000,1452608844037
1452608844038000000,1452608844039
1452608844039980000,1452608844041
1452608844042000000,1452608844043
1452608844043980000,1452608844045
1452608844045990000,1452608844047
1452608844047990000,1452608844049
1452608844049980000,1452608844051
1452608844052000000,1452608844053
1452608844053980000,1452608844055
1452608844055990000,1452608844057
1452608844057990000,1452608844059
1452608844059980000,1452608844061
1452608844061980000,1452608844063
1452608844063990000,1452608844065
1452608844065960000,1452608844067
1452608844067940000,1452608844069
1452608844069970000,1452608844071
1452608844071960000,1452608844073
1452608844073950000,1452608844075
1452608844075950000,1452608844077
1452608844077940000,1452608844079
1452608844080080000,1452608844081
1452608844081900000,1452608844083
1452608844083950000,1452608844085
1452608844085960000,1452608844087
1452608844087940000,1452608844089
1452608844089970000,1452608844091
1452608844092010000,1452608844093
1452608844093950000,1452608844095
1452608844095950000,1452608844097
1452608844097940000,1452608844099
1452608844099970000,1452608844101
1452608844101950000,1452608844103
1452608844103950000,1452608844105
1452608844105950000,1452608844107
1452608844107940000,1452608844109
1452608844109970000,1452608844111
1452608844111960000,1452608844113
1452608844113950000,1452608844115
1452608844115960000,1452608844117
1452608844117940000,1452608844119
1452608844119970000,1452608844121
1452608844121980000,1452608844123
1452608844123980000,1452608844125
1452608844125960000,1452608844127
1452608844127950000,1452608844129
1452608844129910000,1452608844131
1452608844131930000,1452608844133
1452608844133920000,1452608844135
1452608844135930000,1452608844137
1452608844137930000,1452608844139
1452608844139950000,1452608844141
1452608844141910000,1452608844143
1452608844143970000,1452608844145
1452608844145930000,1452608844147
1452608844147930000,1452608844149
1452608844149960000,1452608844151
1452608844151920000,1452608844153
1452608844153920000,1452608844155
1452608844155930000,1452608844157
1452608844157930000,1452608844159
1452608844160110000,1452608844161
1452608844161950000,1452608844163
1452608844163970000,1452608844165
1452608844165950000,1452608844167
1452608844167940000,1452608844169
1452608844169970000,1452608844171
1452608844171960000,1452608844173
1452608844173950000,1452608844175
1452608844175960000,1452608844177
1452608844177940000,1452608844179
1452608844179980000,1452608844181
1452608844181970000,1452608844183
1452608844183950000,1452608844185
1452608844185950000,1452608844187
1452608844187940000,1452608844189
1452608844189970000,1452608844191
1452608844191970000,1452608844193
1452608844193950000,1452608844195
1452608844195960000,1452608844197
1452608844197940000,1452608844199
1452608844199980000,1452608844201
1452608844201980000,1452608844203
1452608844203950000,1452608844205
1452608844205950000,1452608844207
1452608844207940000,1452608844209
1452608844209970000,1452608844211
1452608844211960000,1452608844213
1452608844213950000,1452608844215
1452608844215950000,1452608844217
1452608844217940000,1452608844219
1452608844219970000,1452608844221
1452608844221970000,1452608844223
1452608844223950000,1452608844225
1452608844225950000,1452608844227
1452608844227940000,1452608844229
1452608844229980000,1452608844231
1452608844231950000,1452608844233
1452608844233950000,1452608844235
1452608844235950000,1452608844237
1452608844237940000,1452608844239
1452608844239970000,1452608844241
1452608844241970000,1452608844243
1452608844243980000,1452608844245
1452608844245950000,1452608844247
1452608844247940000,1452608844249
1452608844249970000,1452608844251
1452608844251970000,1452608844253
1452608844253950000,1452608844255
1452608844255960000,1452608844257
1452608844257940000,1452608844259
1452608844259970000,1452608844261
1452608844261960000,1452608844263
1452608844263950000,1452608844265
1452608844265950000,1452608844267
1452608844267940000,1452608844269
1452608844269980000,1452608844271
1452608844271970000,1452608844273
1452608844273950000,1452608844275
1452608844275950000,1452608844277
1452608844277940000,1452608844279
1452608844279980000,1452608844281
1452608844281970000,1452608844283
1452608844283950000,1452608844285
1452608844285950000,1452608844287
1452608844287940000,1452608844289
1452608844289970000,1452608844291
1452608844291970000,1452608844293
1452608844293950000,1452608844295
1452608844295960000,1452608844297
1452608844297940000,1452608844299
1452608844299970000,1452608844301
1452608844301970000,1452608844303
1452608844303950000,1452608844305
1452608844305950000,1452608844307
1452608844307940000,1452608844309
1452608844309970000,1452608844311
1452608844311960000,1452608844313
1452608844313950000,1452608844315
1452608844315950000,1452608844317
1452608844317940000,1452608844319
1452608844319970000,1452608844321
1452608844322010000,1452608844323
1452608844323950000,1452608844325
1452608844325950000,1452608844327
1452608844327940000,1452608844329
1452608844329930000,1452608844331
1452608844331950000,1452608844333
1452608844333950000,1452608844335
1452608844335950000,1452608844337
1452608844337940000,1452608844339
1452608844339980000,1452608844341
1452608844341960000,1452608844343
1452608844343950000,1452608844345
1452608844345950000,1452608844347
1452608844347940000,1452608844349
1452608844349970000,1452608844351
1452608844351960000,1452608844353
1452608844353950000,1452608844355
1452608844355940000,1452608844357
1452608844357940000,1452608844359
1452608844359980000,1452608844361
1452608844361970000,1452608844363
1452608844363930000,1452608844365
1452608844365960000,1452608844367
1452608844367940000,1452608844369
1452608844369970000,1452608844371
1452608844372010000,1452608844373
1452608844373970000,1452608844375
1452608844375950000,1452608844377
1452608844377940000,1452608844379
1452608844379960000,1452608844381
1452608844382000000,1452608844383
1452608844383980000,1452608844385
1452608844385950000,1452608844387
1452608844387940000,1452608844389
1452608844389980000,1452608844391
1452608844391960000,1452608844393
1452608844393950000,1452608844395
1452608844395950000,1452608844397
1452608844397940000,1452608844399
1452608844399970000,1452608844401
1452608844401960000,1452608844403
1452608844403950000,1452608844405
1452608844405950000,1452608844407
1452608844407940000,1452608844409
1452608844409980000,1452608844411
1452608844411950000,1452608844413
1452608844413950000,1452608844415
1452608844415950000,1452608844417
1452608844417940000,1452608844419
1452608844419970000,1452608844421
1452608844422010000,1452608844423
1452608844423950000,1452608844425
1452608844425950000,1452608844427
1452608844427940000,1452608844429
1452608844429980000,1452608844431
1452608844431970000,1452608844433
1452608844433950000,1452608844435
1452608844435950000,1452608844437
1452608844437940000,1452608844439
1452608844440080000,1452608844441
1452608844441950000,1452608844443
1452608844443980000,1452608844445
1452608844445950000,1452608844447
1452608844447940000,1452608844449
1452608844449970000,1452608844451
1452608844451960000,1452608844453
1452608844453960000,1452608844455
1452608844455930000,1452608844457
1452608844457930000,1452608844459
1452608844459960000,1452608844461
1452608844461910000,1452608844463
1452608844463920000,1452608844465
1452608844465930000,1452608844467
1452608844467930000,1452608844469
1452608844469960000,1452608844471
1452608844471910000,1452608844473
1452608844473960000,1452608844475
1452608844475920000,1452608844477
1452608844477920000,1452608844479
1452608844479960000,1452608844481
1452608844481930000,1452608844483
1452608844483920000,1452608844485
1452608844485920000,1452608844487
1452608844487920000,1452608844489
1452608844489960000,1452608844491
1452608844491930000,1452608844493
1452608844493920000,1452608844495
1452608844495920000,1452608844497
1452608844497930000,1452608844499
1452608844499960000,1452608844501
1452608844501910000,1452608844503
1452608844503990000,1452608844505
1452608844505920000,1452608844507
1452608844507930000,1452608844509
1452608844509960000,1452608844511
1452608844511900000,1452608844513
1452608844513920000,1452608844515
1452608844515930000,1452608844517
1452608844517930000,1452608844519
1452608844519960000,1452608844521
1452608844521930000,1452608844523
1452608844523920000,1452608844525
1452608844525920000,1452608844527
1452608844527910000,1452608844529
1452608844529990000,1452608844531
1452608844532000000,1452608844533
1452608844533970000,1452608844535
1452608844536000000,1452608844537
1452608844538000000,1452608844539
1452608844539980000,1452608844541
1452608844542000000,1452608844543
1452608844543980000,1452608844545
1452608844545990000,1452608844547
1452608844547990000,1452608844549
1452608844549980000,1452608844551
1452608844552000000,1452608844553
1452608844553970000,1452608844555
1452608844555990000,1452608844557
1452608844558000000,1452608844559
1452608844559980000,1452608844561
1452608844561990000,1452608844563
1452608844563920000,1452608844565
1452608844565920000,1452608844567
1452608844567920000,1452608844569
1452608844569970000,1452608844571
1452608844571910000,1452608844573
1452608844573970000,1452608844575
1452608844575930000,1452608844577
1452608844577930000,1452608844579
1452608844579970000,1452608844581
1452608844581910000,1452608844583
1452608844583970000,1452608844585
1452608844585930000,1452608844587
1452608844587920000,1452608844589
1452608844589960000,1452608844591
1452608844591920000,1452608844593
1452608844593920000,1452608844595
1452608844595920000,1452608844597
1452608844597930000,1452608844599
1452608844599960000,1452608844601
1452608844601910000,1452608844603
1452608844603970000,1452608844605
1452608844605920000,1452608844607
1452608844607930000,1452608844609
1452608844610140000,1452608844611
1452608844611900000,1452608844613
1452608844613920000,1452608844615
1452608844615920000,1452608844617
1452608844617930000,1452608844619
1452608844619960000,1452608844621
1452608844621930000,1452608844623
1452608844623920000,1452608844625
1452608844625930000,1452608844627
1452608844627930000,1452608844629
1452608844629960000,1452608844631
1452608844631910000,1452608844633
1452608844633990000,1452608844635
1452608844635930000,1452608844637
1452608844637930000,1452608844639
1452608844639960000,1452608844641
1452608844641920000,1452608844643
1452608844643920000,1452608844645
1452608844645930000,1452608844647
1452608844647930000,1452608844649
1452608844649910000,1452608844651
1452608844651960000,1452608844653
1452608844653920000,1452608844655
1452608844655920000,1452608844657
1452608844657910000,1452608844659
1452608844660000000,1452608844661
1452608844661930000,1452608844663
1452608844663920000,1452608844665
1452608844665930000,1452608844667
1452608844667920000,1452608844669
1452608844670120000,1452608844671
1452608844671950000,1452608844673
1452608844673950000,1452608844675
1452608844675950000,1452608844677
1452608844677940000,1452608844679
1452608844679980000,1452608844681
1452608844681960000,1452608844683
1452608844683950000,1452608844685
1452608844685950000,1452608844687
1452608844687940000,1452608844689
1452608844689970000,1452608844691
1452608844691960000,1452608844693
1452608844693950000,1452608844695
1452608844695950000,1452608844697
1452608844697940000,1452608844699
1452608844700080000,1452608844701
1452608844701940000,1452608844703
1452608844703950000,1452608844705
1452608844705950000,1452608844707
1452608844707940000,1452608844709
1452608844709970000,1452608844711
1452608844711960000,1452608844713
1452608844713950000,1452608844715
1452608844715950000,1452608844717
1452608844717940000,1452608844719
1452608844719980000,1452608844721
1452608844722000000,1452608844723
1452608844723950000,1452608844725
1452608844725960000,1452608844727
1452608844727940000,1452608844729
1452608844729960000,1452608844731
1452608844731980000,1452608844733
1452608844733990000,1452608844735
1452608844735950000,1452608844737
1452608844737940000,1452608844739
1452608844739970000,1452608844741
1452608844742010000,1452608844743
1452608844743980000,1452608844745
1452608844746000000,1452608844747
1452608844748000000,1452608844749
1452608844749980000,1452608844751
1452608844752000000,1452608844753
1452608844753980000,1452608844755
1452608844755990000,1452608844757
1452608844757990000,1452608844759
1452608844759980000,1452608844761
1452608844762000000,1452608844763
1452608844763980000,1452608844765
1452608844765990000,1452608844767
1452608844768000000,1452608844769
1452608844769980000,1452608844771
1452608844771990000,1452608844773
1452608844773970000,1452608844775
1452608844775990000,1452608844777
1452608844778000000,1452608844779
1452608844779980000,1452608844781
1452608844782000000,1452608844783
1452608844783980000,1452608844785
1452608844785990000,1452608844787
1452608844787990000,1452608844789
1452608844789980000,1452608844791
1452608844792000000,1452608844793
1452608844793980000,1452608844795
1452608844796000000,1452608844797
1452608844798000000,1452608844799
1452608844799980000,1452608844801
1452608844801990000,1452608844803
1452608844803920000,1452608844805
1452608844805930000,1452608844807
1452608844807930000,1452608844809
1452608844809960000,1452608844811
1452608844811920000,1452608844813
1452608844813920000,1452608844815
1452608844815930000,1452608844817
1452608844817920000,1452608844819
1452608844819960000,1452608844821
1452608844821920000,1452608844823
1452608844823920000,1452608844825
1452608844825930000,1452608844827
1452608844827920000,1452608844829
1452608844830130000,1452608844831
1452608844831950000,1452608844833
1452608844833950000,1452608844835
1452608844835950000,1452608844837
1452608844837940000,1452608844839
1452608844839970000,1452608844841
1452608844841960000,1452608844843
1452608844843950000,1452608844845
1452608844845950000,1452608844847
1452608844847940000,1452608844849
1452608844850080000,1452608844851
1452608844851950000,1452608844853
1452608844853950000,1452608844855
1452608844855950000,1452608844857
1452608844857940000,1452608844859
1452608844859980000,1452608844861
1452608844861970000,1452608844863
1452608844863980000,1452608844865
1452608844865960000,1452608844867
1452608844867940000,1452608844869
1452608844869970000,1452608844871
1452608844872000000,1452608844873
1452608844873950000,1452608844875
1452608844875950000,1452608844877
1452608844877940000,1452608844879
1452608844880080000,1452608844881
1452608844881950000,1452608844883
1452608844883950000,1452608844885
1452608844885960000,1452608844887
1452608844887940000,1452608844889
1452608844889970000,1452608844891
1452608844891980000,1452608844893
1452608844893980000,1452608844895
1452608844895950000,1452608844897
1452608844897940000,1452608844899
1452608844899970000,1452608844901
1452608844901960000,1452608844903
1452608844903950000,1452608844905
1452608844905950000,1452608844907
1452608844907940000,1452608844909
1452608844909970000,1452608844911
1452608844912010000,1452608844913
1452608844913970000,1452608844915
1452608844915950000,1452608844917
1452608844917940000,1452608844919
1452608844919970000,1452608844921
1452608844921970000,1452608844923
1452608844923950000,1452608844925
1452608844925950000,1452608844927
1452608844927950000,1452608844929
1452608844929910000,1452608844931
1452608844931970000,1452608844933
1452608844933920000,1452608844935
1452608844935930000,1452608844937
1452608844937930000,1452608844939
1452608844939970000,1452608844941
1452608844941910000,1452608844943
1452608844943970000,1452608844945
1452608844945930000,1452608844947
1452608844947920000,1452608844949
1452608844949960000,1452608844951
1452608844951930000,1452608844953
1452608844953920000,1452608844955
1452608844955920000,1452608844957
1452608844957930000,1452608844959
1452608844959960000,1452608844961
1452608844961900000,1452608844963
1452608844963930000,1452608844965
1452608844965920000,1452608844967
1452608844967920000,1452608844969
1452608844969960000,1452608844971
1452608844971910000,1452608844973
1452608844973960000,1452608844975
1452608844975910000,1452608844977
1452608844977960000,1452608844979
1452608844979910000,1452608844981
1452608844981970000,1452608844983
1452608844983910000,1452608844985
1452608844985960000,1452608844987
1452608844987910000,1452608844989
1452608844990000000,1452608844991
1452608844991910000,1452608844993
1452608844993960000,1452608844995
1452608844995910000,1452608844997
1452608844997960000,1452608844999
1452608844999910000,1452608845001
1452608845001960000,1452608845003
1452608845003920000,1452608845005
1452608845005930000,1452608845007
1452608845007930000,1452608845009
1452608845009960000,1452608845011
1452608845011910000,1452608845013
1452608845013980000,1452608845015
1452608845015990000,1452608845017
1452608845018000000,1452608845019
1452608845019980000,1452608845021
1452608845022000000,1452608845023
1452608845023980000,1452608845025
1452608845025990000,1452608845027
1452608845028000000,1452608845029
1452608845029980000,1452608845031
1452608845032000000,1452608845033
1452608845033970000,1452608845035
1452608845036000000,1452608845037
1452608845038000000,1452608845039
1452608845039980000,1452608845041
1452608845041990000,1452608845043
1452608845043980000,1452608845045
1452608845045990000,1452608845047
1452608845047980000,1452608845049
1452608845049980000,1452608845051
1452608845051990000,1452608845053
1452608845053980000,1452608845055
1452608845055990000,1452608845057
1452608845057990000,1452608845059
1452608845059990000,1452608845061
1452608845062000000,1452608845063
1452608845063980000,1452608845065
1452608845065990000,1452608845067
1452608845067990000,1452608845069
1452608845069950000,1452608845071
1452608845071990000,1452608845073
1452608845074050000,1452608845075
1452608845075990000,1452608845077
1452608845078000000,1452608845079
1452608845079980000,1452608845081
1452608845082000000,1452608845083
1452608845083970000,1452608845085
1452608845086000000,1452608845087
1452608845087990000,1452608845089
1452608845089980000,1452608845091
1452608845091990000,1452608845093
1452608845093970000,1452608845095
1452608845095990000,1452608845097
1452608845098000000,1452608845099
1452608845099980000,1452608845101
1452608845102000000,1452608845103
1452608845103990000,1452608845105
1452608845105970000,1452608845107
1452608845108000000,1452608845109
1452608845109980000,1452608845111
1452608845111990000,1452608845113
1452608845113990000,1452608845115
1452608845115950000,1452608845117
1452608845117940000,1452608845119
1452608845119980000,1452608845121
1452608845121970000,1452608845123
1452608845123950000,1452608845125
1452608845125940000,1452608845127
1452608845127940000,1452608845129
1452608845129970000,1452608845131
1452608845131970000,1452608845133
1452608845133950000,1452608845135
1452608845135950000,1452608845137
1452608845137940000,1452608845139
1452608845139960000,1452608845141
1452608845141960000,1452608845143
1452608845143940000,1452608845145
1452608845145960000,1452608845147
1452608845147940000,1452608845149
1452608845149980000,1452608845151
1452608845151970000,1452608845153
1452608845153950000,1452608845155
1452608845155960000,1452608845157
1452608845157940000,1452608845159
1452608845159950000,1452608845161
1452608845161970000,1452608845163
1452608845163940000,1452608845165
1452608845165960000,1452608845167
1452608845167940000,1452608845169
1452608845169970000,1452608845171
1452608845171960000,1452608845173
1452608845173950000,1452608845175
1452608845175940000,1452608845177
1452608845177940000,1452608845179
1452608845179970000,1452608845181
1452608845181970000,1452608845183
1452608845183980000,1452608845185
1452608845185940000,1452608845187
1452608845187940000,1452608845189
1452608845189980000,1452608845191
1452608845191950000,1452608845193
1452608845193950000,1452608845195
1452608845195940000,1452608845197
1452608845197940000,1452608845199
1452608845199980000,1452608845201
1452608845201980000,1452608845203
1452608845203970000,1452608845205
1452608845205950000,1452608845207
1452608845207940000,1452608845209
1452608845209980000,1452608845211
1452608845211970000,1452608845213
1452608845213950000,1452608845215
1452608845215950000,1452608845217
1452608845217940000,1452608845219
1452608845219980000,1452608845221
1452608845222010000,1452608845223
1452608845223970000,1452608845225
1452608845225960000,1452608845227
1452608845227940000,1452608845229
1452608845229970000,1452608845231
1452608845231960000,1452608845233
1452608845233950000,1452608845235
1452608845235950000,1452608845237
1452608845237950000,1452608845239
1452608845240180000,1452608845241
1452608845241950000,1452608845243
